filename,tokencount,nercount
754c1d8292cd0232549fab59441e2fb2.txt,4428,132
82f7927bbd047721632db1b080a325a6.txt,2796,47
3224a4a2cc2ba628747082454fc534d2.txt,1749,43
f4759c92330186df90b34ddfe4315c34.txt,2445,44
309f766faf4a23be06923161435b30db.txt,135,5
4a044bf015f2d8c3362ed4350ecbef5f.txt,3699,108
77191524f09ec367b01c5c0790ef4a20.txt,2444,45
dd96bd75a894dc0f65dc1f4b7a927365.txt,1509,16
ae1e0e66dccfe40f295aa1eec86cf0d8.txt,1737,19
ebf2bb2b623c394e2cdfa8e07c70555d.txt,594,12
8f44824508fd3ebc1bde97afbf550a17.txt,491,6
9f937b1828be55515d974e1818f5eca1.txt,2709,69
40ea34a1946f34a803827592e2a15540.txt,2226,36
bca822c3729a77af7d84e4be4d696c98.txt,320,10
b3231937fd4598112f4417e9a9173dde.txt,3592,90
7289ab317568a5536dfa5e8fad8e991b.txt,1878,72
44ac87c9f3cfea89edf345753de4bb61.txt,253,4
c31fee41855dbff3ada507f4b927dcca.txt,2175,38
03c373d8cbd74ead126808499ebf4502.txt,771,12
bd9623b1c35e7b5615560f6405d66e38.txt,272,5
e63ccdb18ed25aa4c0904be8aa467d83.txt,1528,26
2157ba97986c9954c1b20dcc044abb5c.txt,3082,47
d45bf13d59b27a982603ccf3556c434e.txt,3063,96
5f82deb6e11639b317be07d1a9755214.txt,3125,38
f7132fd5a3d729fa727db964f9ca6e24.txt,3338,107
cd13eca26f965166a42428b8c40ffe11.txt,1815,55
6422f62e9d8adbe67f3a6f1bab2e835c.txt,3157,84
f04042939d42d95c2032a5ef19c6e393.txt,1413,35
aa1824b359e352114507b3961ef0830d.txt,2284,43
8efc1215bb2196e3697dceaeea8bf1e3.txt,2069,42
e476e690cd2575cf4ef501775a2e25cf.txt,1931,53
996bf969300b290b4a076275277ad4ce.txt,1265,26
80dd42814eace1397d644240b63a976b.txt,2101,56
fd2b15b17f801719fb7e1ce44bc19948.txt,2529,50
620fc0d44ea10cab5a0a9837a404d92b.txt,2734,59
0a849da6e1bcb2f861100dded700a4aa.txt,3284,73
f53ef2863e4dc9c536e68243aae3a9e0.txt,3754,96
5a365bd36958e6c501cc7b4d7365456d.txt,2315,84
957c8982c9c0c817948ffa377cb2af50.txt,2346,52
ca9511eeeffcd8cad378b745bbf7f0d1.txt,2637,48
c4bcf3fe0083f73024e076ffbafa9a9a.txt,2184,62
027134939f0e4bd6edc4a078ac6b5039.txt,1328,15
d8ad1066a2475dbccf6a2b7ea8589698.txt,636,21
369a2c394ad06837c543b062ce0e92ad.txt,3970,100
6238763f115a1d7434ba3024f13e8504.txt,2477,21
6566d538941e51ecac4bd2ffd02c8a60.txt,643,16
2a4a83b739ac9235f24fa043287e2042.txt,807,8
75556e3abda535e4f8180aecc3b84bd9.txt,3695,68
pip-log.txt,1083,12
8685c333d2bf316c2119ea0c02729ca0.txt,1905,46
dacfefbcc03e0fc41921ebe6e20c9370.txt,958,20
64496639559ff25166889c9c5d572b89.txt,1841,33
9c6daa857e1121d37a5299b793fa04e4.txt,975,31
47caac00ff898c4bce06031451e04aed.txt,1443,15
c459fe6f5b0c2affad7e5d48aff643d9.txt,1393,45
2479cf06e4f8d22b3916e3dbf9641755.txt,2275,68
be88c822e09bfe30f9eff351a65f9c52.txt,4120,94
a322f60af49f42c183c71147d9fe0950.txt,4068,73
284fd1d540e6db8b150b933714565c4e.txt,1974,30
85fef9265cf0f86230759536bcb05461.txt,725,21
9d587d90aa34a8466b489ed81b3a11e9.txt,2413,30
ea364430c07f3cb5160e8ed8d6614423.txt,2495,39
833cbead4e32a7da79039d24834b0306.txt,2932,97
62213b4e2b90b126728ac19e37c1d7b9.txt,642,25
841865ecdf78a904ed41de5b9c93b096.txt,2530,61
38456678abf36eda41513bb04d4de4eb.txt,2666,38
a31879486086077c0acbaa1699b4f0bd.txt,271,7
c7af3b4651785b05653b48483a4868bc.txt,1306,28
4ae3b553a1818e6164cf64f1d3a5d150.txt,995,24
e9c7cf81c9f4105ead96543adf6c87b5.txt,1412,31
3365f6e38f14031186f7e295a4bbec21.txt,2540,84
0ab6c8fc3b536eb2ae3d134e6f3d67c3.txt,2262,46
8c27ff2da92f748c87f794f0604a9c85.txt,1490,37
4e88cb8783a391a1667ba31a095df999.txt,2764,12
15529009ddfa2092e303ed3495780a03.txt,4339,99
c547a78cf1894289005359a7d2c2f5a0.txt,4179,45
76d204039900642a1baf020374262ebc.txt,2440,25
b9c6b94aaad1ab70bd3113d8f11659ed.txt,1525,17
239932af18b06dae362c0839b5f60729.txt,147,2
87320138722d951de61e17f04fc7d6ca.txt,1972,64
f52d335d4dc7cff11d9e44bb57315bf7.txt,1314,19
1a14293aad36fc65cd613b7c1122980b.txt,844,21
f370d5615b911aa089d52748d6adc621.txt,311,5
38f24eaee75261da39df8810abc2de43.txt,2410,47
fd4a88f11e75cf77ab431be1f6aaac6b.txt,2125,87
6dde456fc84376b28b62a76fcf8c3a03.txt,1816,75
6e59997afd68bfb98550a72c821cb3e4.txt,2186,39
b227d3f9f50cf5ac404c112a29777c4e.txt,135,9
d43f6652b0c8736c3c6972dd245f952b.txt,2308,21
9dabb1526e88965a47cd2a94b0130e48.txt,496,9
a86d0c6ffd0caa8b1ab979112ca7708d.txt,2227,90
d4f4aca0f1c0fdd339cda5fc7b64a0b2.txt,3875,86
ddef21dd8fd26089e429a62163adaa16.txt,2923,70
e2ec6735a193b300906e7b0711e89d4d.txt,791,21
4a5940c3e2c232790bc30c2ee025e442.txt,1753,41
405cea1d5577059a15d27c238dc181a7.txt,2034,48
b7ca6426a3ab82ed430a834d1c2448bc.txt,3660,103
a1fe2e2782a576da83084dfe43cb73ca.txt,1348,23
ffff5f0602b52947c95001474fd8dc0c.txt,2302,73
0701caa356a8d9fcb460241c773ea540.txt,1483,28
9374557892d200c0292ef2ef48e79fed.txt,531,13
4d0409cf01b8dcdb7f36b3506796a579.txt,1815,33
d8068040db03d27067c8740ab8f97a4a.txt,367,17
e61e0adaf98800888d4a54cf8c7ad99a.txt,1534,16
